era,Title,Album,swear_total,total_words,swears_per_1000
MMLP2,Throw It Up,Radioactive,9,286,31.46853147
ESH,Nail In The Coffin,Invasion: Shady Times,28,890,31.46067416
ESH,Hail Mary 2003 (Ja Rule Diss),Invasion Part II Conspiracy Theory,9,300,30
MMLP,Who Knew,The Marshall Mathers LP,25,845,29.58579882
MMLP2,The Reunion,Hell: The Sequel,15,510,29.41176471
Infinite,"Low Down, Dirty",Slim Shady EP,17,580,29.31034483
MMLP2,Echo,Hell: The Sequel,7,240,29.16666667
MTBMB,Homicide,Confessions of a Dangerous Mind,13,458,28.38427948
TDOSS,Houdini,The Death of Slim Shady (Coup De Grâce),19,672,28.27380952
ESH,Patiently Waiting,Get Rich or Die Tryin’,8,285,28.07017544
MMLP,Marshall Mathers,The Marshall Mathers LP,28,1010,27.72277228
MMLP2,Throw That,welcome to: OUR HOUSE,19,691,27.49638205
MMLP2,Lighters,Hell: The Sequel,10,365,27.39726027
ENC,Puke,Encore (Deluxe Version),15,558,26.88172043
REC,Roman’s Revenge,Queen Radio: Volume 1,12,450,26.66666667
MTBMB,Friday Night Cypher,Detroit 2 (Deluxe),17,639,26.60406886
REC,Almost Famous,Recovery,19,720,26.38888889
ENC,My 1st Single,Encore (Deluxe Version),26,990,26.26262626
MMLP,Girls,Devil's Night,32,1219,26.25102543
ENC,We As Americans,Encore (Deluxe Version),19,725,26.20689655
ENC,Jimmy Crack Corn,Eminem Presents the Re-Up,16,614,26.05863192
MMLP,Forgot About Dre,2001,12,471,25.47770701
ESH,Shit Hits The Fan,The Bar Is Open,6,237,25.3164557
SSLP,Busa Rhyme,Da Real World,11,437,25.17162471
MMLP2,Welcome To Planet X (We’re Coming For You),Good vs. Evil,1,40,25
MMLP2,Loud Noises,Hell: The Sequel,6,240,25
SSLP,Bad Influence,Music From and Inspired By the Motion Picture End of Days,21,846,24.82269504
MMLP2,Fast Lane,Hell: The Sequel,10,406,24.63054187
MMLP,Quitter,Eminem Vs. DJ Whoo Kid: Shady Classics,29,1180,24.57627119
SSLP,As the World Turns,The Slim Shady LP,22,900,24.44444444
